time,2-10 Bond Spread,"SPX, SPCFD: Compare"
2020-04-13T00:00:00Z,0.51,2761.64
2020-04-14T00:00:00Z,0.53,2846.07
2020-04-15T00:00:00Z,0.43,2783.37
2020-04-16T00:00:00Z,0.41,2799.56
2020-04-17T00:00:00Z,0.45,2874.57
2020-04-20T00:00:00Z,0.43,2823.17
2020-04-21T00:00:00Z,0.38,2736.57
2020-04-22T00:00:00Z,0.41,2799.32
2020-04-23T00:00:00Z,0.39,2797.81
2020-04-24T00:00:00Z,0.38,2836.75
2020-04-27T00:00:00Z,0.43,2878.49
2020-04-28T00:00:00Z,0.42,2863.4
2020-04-29T00:00:00Z,0.43,2939.52
